Month,Count,Direction,CLPR,Visa,Citizenship
2005-01-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2005-01-01,16,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2005-01-01,96,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2005-01-01,194,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2005-01-01,408,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2005-01-01,80,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2005-01-01,21,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2005-02-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2005-02-01,13,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2005-02-01,97,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2005-02-01,303,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2005-02-01,503,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2005-02-01,68,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2005-02-01,22,Arrivals,"China, People's Republic of",Work,Non-New Zealand
